Date,Hour,MCP
01/08/2023,21,10000.0
01/08/2023,22,10000.0
01/08/2023,23,10000.0
01/08/2023,24,10000.0
01/09/2023,1,10000.0
01/09/2023,2,10000.0
01/09/2023,3,10000.0
01/09/2023,4,10000.0
01/09/2023,5,10000.0
01/09/2023,6,10000.0
01/09/2023,7,10000.0
01/09/2023,8,10000.0
01/09/2023,9,10000.0
01/09/2023,10,10000.0
01/09/2023,11,10000.0
01/09/2023,12,10000.0
01/09/2023,13,10000.0
01/09/2023,14,10000.0
01/09/2023,15,10000.0
01/09/2023,16,10000.0
01/09/2023,17,10000.0
01/09/2023,18,10000.0
01/09/2023,19,10000.0
01/09/2023,20,10000.0
01/09/2023,21,10000.0
01/09/2023,22,10000.0
01/09/2023,23,10000.0
01/09/2023,24,10000.0
01/10/2023,1,5200.33
01/10/2023,2,4932.6025
01/10/2023,3,4624.7575
01/10/2023,4,4600.125
01/10/2023,5,4139.945
01/10/2023,6,3074.5525
01/10/2023,7,4109.115
01/10/2023,8,3641.1075
01/10/2023,9,3113.0525
01/10/2023,10,3008.0875
01/10/2023,11,2536.785
01/10/2023,12,2341.33
01/10/2023,13,2275.8575
01/10/2023,14,2042.4825
01/10/2023,15,2532.7799999999997
01/10/2023,16,2838.5924999999997
01/10/2023,17,3498.2675
01/10/2023,18,3782.325
01/10/2023,19,3597.3225
01/10/2023,20,5355.9125
01/10/2023,21,4909.225
01/10/2023,22,4865.535
01/10/2023,23,4790.7725
01/10/2023,24,4800.54
01/11/2023,1,4046.5150000000003
01/11/2023,2,4023.69
01/11/2023,3,4017.92
01/11/2023,4,4006.115
01/11/2023,5,3927.315
01/11/2023,6,4962.74
01/11/2023,7,5509.9475
01/11/2023,8,5326.795
01/11/2023,9,4041.985
01/11/2023,10,4228.675
01/11/2023,11,3831.1925
01/11/2023,12,3681.925
01/11/2023,13,3531.1275
01/11/2023,14,3356.1775
01/11/2023,15,3588.06
01/11/2023,16,3881.85
01/11/2023,17,7547.28
01/11/2023,18,10000.0
01/11/2023,19,10000.0
01/11/2023,20,7570.2075
01/11/2023,21,4756.7074999999995
01/11/2023,22,4207.0825
01/11/2023,23,4425.695
01/11/2023,24,4048.61
01/12/2023,1,3000.37
01/12/2023,2,2999.5675
01/12/2023,3,2822.9825
01/12/2023,4,2680.88
01/12/2023,5,2947.295
01/12/2023,6,3108.5625
01/12/2023,7,3618.11
01/12/2023,8,3982.0074999999997
01/12/2023,9,3671.755
01/12/2023,10,3513.1925
01/12/2023,11,3228.4300000000003
01/12/2023,12,3087.82
01/12/2023,13,3087.5874999999996
01/12/2023,14,2977.7675
01/12/2023,15,3087.5425
01/12/2023,16,3205.0074999999997
01/12/2023,17,3900.5875
01/12/2023,18,9750.05
01/12/2023,19,9945.0775
01/12/2023,20,4784.155000000001
01/12/2023,21,4167.5275
01/12/2023,22,3498.4275
01/12/2023,23,3049.675
01/12/2023,24,3007.6949999999997
02/01/2024,1,2988.2225
02/01/2024,2,2698.375
02/01/2024,3,2492.4875
02/01/2024,4,2637.0775
02/01/2024,5,2716.165
02/01/2024,6,3087.6
02/01/2024,7,3987.64
02/01/2024,8,8624.6325
02/01/2024,9,10000.0
02/01/2024,10,10000.0
02/01/2024,11,9568.3275
02/01/2024,12,6981.4025
02/01/2024,13,4226.4425
02/01/2024,14,3485.4325
02/01/2024,15,3702.7525
02/01/2024,16,4129.83
02/01/2024,17,7920.86
02/01/2024,18,10000.0
02/01/2024,19,10000.0
02/01/2024,20,10000.0
02/01/2024,21,5099.62
02/01/2024,22,3380.83
02/01/2024,23,2985.0175
02/01/2024,24,3100.7174999999997
02/02/2024,1,3076.525
02/02/2024,2,2913.8125
02/02/2024,3,2847.3925
02/02/2024,4,2700.1425
02/02/2024,5,2608.6425
02/02/2024,6,3353.6025
02/02/2024,7,6122.63
02/02/2024,8,10000.0
02/02/2024,9,10000.0
02/02/2024,10,10000.0
02/02/2024,11,7499.98
02/02/2024,12,4122.0025000000005
02/02/2024,13,3911.875
02/02/2024,14,3335.245
02/02/2024,15,3804.42
02/02/2024,16,4199.5975
02/02/2024,17,5981.9275
02/02/2024,18,10000.0
02/02/2024,19,10000.0
02/02/2024,20,10000.0
02/02/2024,21,7566.9
02/02/2024,22,4639.1175
02/02/2024,23,3866.5625
02/02/2024,24,3528.9849999999997
02/03/2024,1,3273.62
02/03/2024,2,3149.89
02/03/2024,3,2994.5725
02/03/2024,4,2984.7
02/03/2024,5,3134.94
02/03/2024,6,3615.885
02/03/2024,7,3848.425
02/03/2024,8,5691.445
02/03/2024,9,5127.7725
02/03/2024,10,4025.61
02/03/2024,11,3479.24
02/03/2024,12,3365.71
02/03/2024,13,3081.1625
02/03/2024,14,2620.8425
02/03/2024,15,3174.2275
02/03/2024,16,3425.965
02/03/2024,17,3652.615
02/03/2024,18,3448.2
02/03/2024,19,3493.995
02/03/2024,20,3999.5025
02/03/2024,21,3735.6375
02/03/2024,22,3652.27
02/03/2024,23,3404.1425
02/03/2024,24,3460.3675000000003
02/04/2023,1,4320.1849999999995
02/04/2023,2,4303.965
02/04/2023,3,4049.76
02/04/2023,4,4040.745
02/04/2023,5,4155.6775
02/04/2023,6,4533.695
02/04/2023,7,4115.365
02/04/2023,8,3541.1825
02/04/2023,9,3294.06
02/04/2023,10,2899.755
02/04/2023,11,2621.0025
02/04/2023,12,2364.925
02/04/2023,13,2277.505
02/04/2023,14,2035.2725
02/04/2023,15,2192.785
02/04/2023,16,2466.4700000000003
02/04/2023,17,2810.9125
02/04/2023,18,2873.105
02/04/2023,19,3742.3375
02/04/2023,20,4287.8175
02/04/2023,21,4160.1125
02/04/2023,22,4290.5225
02/04/2023,23,4441.172500000001
02/04/2023,24,4295.4
02/05/2023,1,3534.3625
02/05/2023,2,3483.78
02/05/2023,3,3358.5675
02/05/2023,4,2994.2574999999997
02/05/2023,5,3016.5325
02/05/2023,6,3374.4925000000003
02/05/2023,7,3082.5575
02/05/2023,8,2807.2875
02/05/2023,9,2358.5675
02/05/2023,10,2215.3975
02/05/2023,11,2088.595
02/05/2023,12,2082.88
02/05/2023,13,2059.0
02/05/2023,14,2001.4775
02/05/2023,15,2085.79
02/05/2023,16,2395.48
02/05/2023,17,2528.57
02/05/2023,18,2793.1125
02/05/2023,19,3555.9875
02/05/2023,20,4262.785
02/05/2023,21,4087.7825000000003
02/05/2023,22,4376.110000000001
02/05/2023,23,4102.5
02/05/2023,24,4378.47
02/06/2023,1,10000.0
02/06/2023,2,9949.91
02/06/2023,3,6072.22
02/06/2023,4,4548.2175
02/06/2023,5,3950.02
02/06/2023,6,3524.585
02/06/2023,7,3047.415
02/06/2023,8,2787.2799999999997
02/06/2023,9,2763.7525
02/06/2023,10,3013.4849999999997
02/06/2023,11,3250.06
02/06/2023,12,3434.725
02/06/2023,13,3454.895
02/06/2023,14,3405.0025
02/06/2023,15,3805.0775
02/06/2023,16,4595.095
02/06/2023,17,4159.455
02/06/2023,18,4127.6025
02/06/2023,19,5513.5599999999995
02/06/2023,20,10000.0
02/06/2023,21,10000.0
02/06/2023,22,10000.0
02/06/2023,23,10000.0
02/06/2023,24,10000.0
02/07/2023,1,5077.9025
02/07/2023,2,4144.0650000000005
02/07/2023,3,3537.5425
02/07/2023,4,3421.085
02/07/2023,5,3317.7325
02/07/2023,6,3439.9425
02/07/2023,7,3608.8775
02/07/2023,8,2683.4375
02/07/2023,9,2000.9775
02/07/2023,10,1785.5225
02/07/2023,11,1429.1325000000002
02/07/2023,12,1451.155
02/07/2023,13,1499.2224999999999
02/07/2023,14,1499.2825
02/07/2023,15,1762.2275
02/07/2023,16,2147.7425000000003
02/07/2023,17,2260.6275
02/07/2023,18,2513.7799999999997
02/07/2023,19,2848.13
02/07/2023,20,3756.5699999999997
02/07/2023,21,4120.625
02/07/2023,22,4862.675
02/07/2023,23,5261.215
02/07/2023,24,5435.9349999999995
02/08/2023,1,3546.7275
02/08/2023,2,3149.965
02/08/2023,3,3402.8599999999997
02/08/2023,4,2887.345
02/08/2023,5,2924.085
02/08/2023,6,3230.2799999999997
02/08/2023,7,3884.81
02/08/2023,8,3229.255
02/08/2023,9,2811.92
02/08/2023,10,2731.0225
02/08/2023,11,2422.4475
02/08/2023,12,2112.8075
02/08/2023,13,2107.315
02/08/2023,14,2105.735
02/08/2023,15,2578.0575
02/08/2023,16,2747.7225
02/08/2023,17,2943.6225
